Mill Name,Parish,Founding date,Extant/Ruin,Picture ,Latitude,Longitude,Link to Google Doc
Barnacle Point,St. George's,1750,,,17.139147,-61.778625,https://docs.google.com/document/d/1SFuT_E36BI5NAo1HfZA-iCMUDPGXEDdsWV4WoZo5ONg/edit
Barnes Hill,St. George's,1680,,,17.142879,-61.801928,https://docs.google.com/document/d/1KKRvbVDxRVsonjFpw2ybVHOTZRfj7qIUkWUoXjoMor4/edit
Blackman's/Mount Lucie,St. George's,1600,,,17.114785,-61.782788,https://docs.google.com/document/d/1l2PD7JSxAXHdRvazcgsB0RYWqSk5VsgGil1HOxavLLc/edit
Carlisles,St. George's,1678,,,17.131109,-61.803945,https://docs.google.com/document/d/1VCFMpbqnXfMulz9MuuIK31eCK8OHf223t96tBJgu3UE/edit
Date Hill,St. George's,1773,,,17.144929,-61.803216,https://docs.google.com/document/d/1-kH58FhGBmF8dXjX9NuZrbSGB63MHDjhL97aDWbYjK8/edit
Donovan's (Vaughans),St. George's,1680,,,17.108387,-61.785835,https://docs.google.com/document/d/125B9LZ929LMeg5roeA_lJ-5cehuaksIt9GtYHovTsII/edit
Fitches Creek,St. George's,1660,,,17.125572,-61.794547,https://docs.google.com/document/d/14Pk2bbZSVIwUyv9gwYXVkgFN0fds2sS8I6FDAOj8M3A/edit
Giles Blizard's,St. George's,1650,,,17.141525,-61.813473,https://docs.google.com/document/d/1gY2aqyGNpgpkm30QrHyQYlU_iY5UUZHHpa3mphRyA_k/edit
Gravenor's,St. George's,1671,,,17.154197,-61.803645,https://docs.google.com/document/d/12nk2FACsDfz63de8mkKaOpv3xxjX4nc1no6C2MCAhK8/edit
Gunthorpes (ASF),St. George's,1669,,,17.106049,-61.800126,https://docs.google.com/document/d/19y4UAOny2OEDHqJeD-gwbI_FmWYMNHbZln2qAX_WC4c/edit
Hight Point,St. George's,1729,,,17.148543,-61.792426,https://docs.google.com/document/d/1-fTFVFG55oG2_WY_lzsARj3RERZrUsIHluCMwiqs5KQ/edit
Judge Blizzard's,St. George's,1750,,,17.147594,-61.809481,https://docs.google.com/document/d/11mO4rndZpcdhxX0-k5T2YVDgbv21GJShTfAo4IIEOtE/edit
Lightfoot's/The Grove,St. George's,1715,,,17.098348,-61.799722,https://docs.google.com/document/d/1Zp0QcGm1Ih47eulwo688JFzpxD9H5jfg_pUYpvla2xg/edit
Long Island,St. George's,1627,,,17.156288,-61.764636,https://docs.google.com/document/d/1-QdHoghXX-Q9qiE67wn0IMDqu3F7WCuHPwZSxnsI7vk/edit
Millars,St. George's,1750,,,17.134431,-61.78944,https://docs.google.com/document/d/1TQyUgd0opvgp0MZVooMpBLh75QNE88B82EC1glZzWts/edit
Nibb's,St. George's,1671,,,17.154694,-61.799507,https://docs.google.com/document/d/1O_tN1PS3ocbPpTH08s9IAMab-OGk95t_HR71fHybEpM/edit
North Sound (Thomas's Hill/Col. Thomas North Sound Plantation,St. George's,1682,,,17.098871,-61.785277,https://docs.google.com/document/d/1sBkSYHbmd8583cR6IKcDaNLqQlWmaFYbGwRCFX0wdyQ/edit
Paynters,St. George's,1678,,,17.114621,-61.805533,https://docs.google.com/document/d/1HWyEr4No2Jjm1IBF_aAITCmF21x2i_ejzLOV-AJtdhw/edit
Sherwoods/Lebanon,St. George's,1725,,,17.100843,-61.800519,https://docs.google.com/document/d/1tPijaZSwZX_KRXOEIXOovLXVU_eXR9Vjzd1CabW3Bx4/edit
Weir's (Ware's/Glanville's/Little Zoar),St. George's,1679,,,17.115822,-61.791311,https://docs.google.com/document/d/12PcsO-m_-AlMw3LEOC9TqTZABg8udtMywGicL_lsQdM/edit
Will Blizzard's,St. George's,1750,,,17.146364,-61.817078,https://docs.google.com/document/d/1lzLwCjIs4oz94Tmdq1cFw38whLClY0nRfiqHwxENoAE/edit
Winthorpes,St. George's,1638,,,17.145134,-61.78974,https://docs.google.com/document/d/1jJZLNaTZIB-0ZaX9M5hOU5XJY5uu0N33U7335lgRQFU/edit
Allen's Plantation (a.k.a. Mountain's View),St. John's,1668,,,17.059808,-61.84238,https://docs.google.com/document/d/1ZcZiSqCdJTk2tupknt5eZLYco7_1i9DYBGzXZvAsW5k/edit
Belle Vue/Stony Hill Plantation,St. John's,1750,,,17.074228,-61.795903,https://docs.google.com/document/d/1PdO4ECnJzGbWWDwveUp0ewGh-eOWq0cBLB6GGjbASiY/edit
Belmont/Murray's,St. John's,1667,,,17.101748,-61.824089,https://docs.google.com/document/d/1yD8JXKyOEmoOhvofn7R2DQVJ7ydv4N_M9HNUM21lhAk/edit
Belvedere Plantation (a.k.a. Horne's),St. John's,1682,,,17.064915,-61.834184,https://docs.google.com/document/d/1Mr0UB44gr0hxmoXwF27VXtIolZuYaB6glA73nq1zhSs/edit
Bendal's Plantation,St. John's,1728,,,17.069623,-61.83081,https://docs.google.com/document/d/1o5kenJolVJc9VdiUe5SzWCfiWcCrZNBrlpU80we2dWI/edit
Body Ponds Plantation (a.k.a. Carleton),St. John's,1679,,,17.048545,-61.818434,https://docs.google.com/document/d/1O3TkEhwccOdkHQsJ-da6qxHOkwo_J-T7Y8KJSLtP4cE/edit
Boone's,St. John's,1670,,,17.229085,-61.833746,https://docs.google.com/a/bucknell.edu/document/d/1ivbck_V_MIwMoJIodsEyfE1vv0cFKakRrpz82qDSncw/edit?usp=sharing
Brecknock's Plantation,St. John's,1718,,,17.058187,-61.8256,https://docs.google.com/document/d/1mMhUxxU0RLUtz-wRWpXvBlYCTLhG9fHn-AI7UYo077s/edit
